iterations,time,residual,fitness,Cond_num,dt_step
0,0.0,1807.9087311082046,0.5205501765317009,0,True
1,0.15163373947143555,538.9809021998135,0.8570645221376394,0,True
2,0.20316576957702637,404.6571767458293,0.8926866115431374,0,True
3,0.25988268852233887,355.01924919041244,0.9058503820334701,0,True
4,0.32055187225341797,311.3064497427271,0.9174428333657069,0,True
5,0.3804280757904053,272.2547020860789,0.9277991932847343,0,True
6,0.4332010746002197,237.4116784922509,0.9370394172096016,0,True
7,0.48570823669433594,210.2522875241407,0.9442419739433063,0,True
8,0.5371623039245605,191.3642041779447,0.9492510145382025,0,True
9,0.589672327041626,178.2265869966007,0.952735055590722,0,True
10,0.6418414115905762,168.16015236069063,0.955404631895154,0,True
11,0.6931772232055664,159.53858317051274,0.9576910359348738,0,True
12,0.7487602233886719,151.67779070335982,0.9597756851739907,0,True
13,0.8053131103515625,144.3338504298644,0.9617232673760694,0,True
14,0.8606541156768799,137.37083162323734,0.963569830800539,0,True
15,0.917957067489624,130.42314316535018,0.9654123286807307,0,True
16,0.9711780548095703,122.27729207689971,0.9675725742723114,0,True
17,1.0232610702514648,110.46251477960436,0.9707058037280003,0,True
18,1.0746650695800781,92.80300873570638,0.9753890307679485,0,True
19,1.125640869140625,71.25129121341872,0.9811044559903077,0,True
20,1.1767067909240723,51.500952304912715,0.9863421631489638,0,True
21,1.230205774307251,37.16998184608776,0.9901426764925778,0,True
22,1.2832705974578857,28.129286009727124,0.992540231163447,0,True
23,1.3352136611938477,22.745964575077593,0.9939678654610776,0,True
24,1.3901457786560059,19.486977544307237,0.9948321351720992,0,True
25,1.443098783493042,17.353375460177244,0.9953979575086951,0,True
26,1.4944918155670166,15.800989953703308,0.9958096436431922,0,True
27,1.546724796295166,14.559438303393069,0.996138897940893,0,True
28,1.5994298458099365,13.498741495918786,0.9964201902917437,0,True
29,1.6507399082183838,12.555946716310054,0.9966702155186108,0,True
30,1.703490972518921,11.699364270879832,0.9968973775955348,0,True
31,1.7550172805786133,10.911925859002297,0.9971062029643549,0,True
32,1.8064682483673096,10.183526716022648,0.9972993713663361,0,True
33,1.857896089553833,9.507484219768008,0.99747865500489,0,True
34,1.911271095275879,8.878879255689275,0.9976453584085923,0,True
35,1.9703919887542725,8.293765493366255,0.9978005281277421,0,True
36,2.0225939750671387,7.748783410242295,0.997945055093651,0,True
37,2.0735862255096436,7.240965602523143,0.9980797262493767,0,True
38,2.12917423248291,6.767633858158114,0.9982052518455381,0,True
39,2.1813852787017822,6.326341083827599,0.9983222808410345,0,True
40,2.234736442565918,5.914835679649982,0.9984314103507239,0,True
41,2.286681652069092,5.5310375555372495,0.9985331920057859,0,True
42,2.338660478591919,5.1730204650601115,0.998628136638706,0,True
43,2.391819477081299,4.838998013295511,0.9987167179939356,0,True
44,2.446737289428711,4.527311956493132,0.9987993758307722,0,True
45,2.4977152347564697,4.236422056262126,0.9988765186139861,0,True
46,2.550469398498535,3.9648970811761717,0.9989485259001573,0,True
47,2.60178542137146,3.711406702695957,0.9990157504868424,0,True
48,2.6535792350769043,3.474714120526513,0.9990785203682998,0,True
49,2.704834222793579,3.2536693168463557,0.999137140524439,0,True
50,2.756211280822754,3.047202837252795,0.9991918945700885,0,True
51,2.8083412647247314,2.8543200706874856,0.9992430462719353,0,True
52,2.859682321548462,2.6740959345448254,0.9992908409580118,0,True
53,2.9117894172668457,2.505669973920848,0.9993355068173548,0,True
54,2.9645955562591553,2.34824178299547,0.9993772561142354,0,True
55,3.0188755989074707,2.201066784689806,0.9994162863073764,0,True
56,3.0699565410614014,2.0634522894728367,0.9994527810951405,0,True
57,3.1220552921295166,1.9347538290544144,0.9994869113878188,0,True
58,3.1732852458953857,1.8143717549436607,0.9995188362096795,0,True
59,3.224931001663208,1.701748081382162,0.999548703536209,0,True
60,3.2792959213256836,1.596363528619875,0.9995766510782218,0,True
61,3.3312008380889893,1.4977347870751982,0.999602807007395,0,True
62,3.3828580379486084,1.4054119898057318,0.9996272906265575,0,True
63,3.435718059539795,1.3189763186818289,0.9996502130045231,0,True
64,3.4877641201019287,1.2380378195057802,0.9996716775555118,0,True
65,3.539663314819336,1.1622333748962392,0.9996917805767322,0,True
66,3.591238260269165,1.091224774719634,0.9997106117600953,0,True
67,3.6425583362579346,1.024696967423525,0.9997282546559535,0,True
68,3.6944823265075684,0.9623564385508075,0.9997447871031111,0,True
69,3.7465405464172363,0.9039296605467136,0.9997602816399304,0,True
70,3.79841947555542,0.8491617097622588,0.999774805871095,0,True
71,3.85219669342041,0.7978149368302709,0.9997884228202222,0,True
72,3.904794931411743,0.7496677745674434,0.9998011912460006,0,True
73,3.9661459922790527,0.7045135694685011,0.9998131659520746,0,True
74,4.017356872558594,0.6621595718125476,0.9998243980548627,0,True
75,4.069076776504517,0.6224259627935664,0.9998349352415592,0,True
76,4.12087869644165,0.5851449215381919,0.9998448220175568,0,True
77,4.173124074935913,0.5501598274940201,0.99985409991797,0,True
78,4.224370956420898,0.517324461045941,0.9998628077196284,0,True
79,4.27714204788208,0.4865022715187656,0.9998709816351993,0,True
80,4.3282999992370605,0.45756574090003455,0.9998786554819251,0,True
81,4.379881858825684,0.43039574341527076,0.9998858608514626,0,True
82,4.432111024856567,0.4048809632968952,0.9998926272642871,0,True
83,4.483921051025391,0.38091739310445194,0.9998989823027361,0,True
84,4.535343885421753,0.3584077766303457,0.9999049517587485,0,True
85,4.586383819580078,0.33726120355397265,0.9999105597413607,0,True
86,4.646668910980225,0.317392660134936,0.9999158287958604,0,True
