iterations,time,residual,fitness,cond_num
0,0.0,153862.9388675386,-0.05323703653990841,6.788415898833151
1,0.0,153862.9388675386,-0.05323703653990841,6.788415898833151
2,10.332841157913208,86544.1240624953,0.40758003565759593,31.846641624893813
3,18.839559078216553,148345.49532759734,-0.01546851394404869,4.961725534328395
4,27.307257890701294,143331.0232737633,0.018857021007153252,1.406620955804041
5,36.11406922340393,133923.33359506808,0.08325542175787826,1.1649681852773806
6,44.794557094573975,126363.16701598967,0.135006983908603,1.1818510217481486
7,53.37631821632385,120493.83483397028,0.17518428767881344,1.1731015467768708
8,62.10648012161255,119254.08734014795,0.18367072363318804,1.149546488602582
9,70.61705803871155,119227.26575472539,0.18385432526821255,1.144884693130259
10,80.11225485801697,119050.163494578,0.18506664228890035,1.1439611170831383
11,88.96451783180237,119793.30983460935,0.1799795871822516,1.1438022784066582
12,97.65963506698608,120324.12795961951,0.17634598111023514,1.1447029812644234
13,106.17415809631348,121093.47652053529,0.17107956410085534,1.1458465594342568
14,114.54882907867432,121617.38660369886,0.1674932456055377,1.147684397839114
15,123.38536214828491,122296.44763503861,0.16284487327141928,1.1555313113895118
16,131.99466109275818,122808.50849496985,0.15933966619158857,1.1635916191561135
17,140.6322820186615,123366.4804013767,0.1555201845054731,1.174385724559411
18,149.0302450656891,123744.28906270939,0.15293397318148605,1.1848537279772346
19,157.28823590278625,124050.24371858353,0.15083962364260273,1.1933215453271473
0,0.0,124188.52675844803,0.14989303559363787,1.200138558437255
1,0.0,124188.52675844803,0.14989303559363787,1.200138558437255
2,8.777448892593384,124259.00473059711,0.14941059316095084,1.2035294394732525
3,17.50218105316162,124246.66821071369,0.14949504026522986,1.2060766912762115
4,26.39180302619934,124225.78525316075,0.14963799024713675,1.2067308413264364
5,34.761420249938965,124178.88913572571,0.14995900795364914,1.2074201367726953
6,43.22933006286621,124147.18454707127,0.15017603518090006,1.207421861211639
7,51.45779895782471,124106.55239057199,0.15045417423384233,1.2076666846980757
8,59.63778734207153,124081.3406070978,0.15062675630141298,1.2077230500618577
9,70.35013246536255,124050.95787525839,0.15083473503027411,1.20796278418716
10,78.49502849578857,124030.95267271962,0.15097167652113863,1.208173990604289
11,88.56302642822266,124007.07297313774,0.1511351400829698,1.2084774204956883
12,98.4154052734375,123989.03112865762,0.151258641810896,1.208790334731271
13,107.62450432777405,123968.15860881643,0.15140152034359833,1.2091327524221196
14,117.11566829681396,123950.03015517925,0.15152561493665884,1.2094856288800944
15,126.70638251304626,123930.02642928356,0.15166254631946752,1.2098346581849904
16,136.1579396724701,123910.91276766453,0.15179338495071448,1.2101868068162431
17,146.77414679527283,123890.71922480315,0.15193161568643998,1.2105206402411015
18,156.5928876399994,123870.4484690882,0.15207037496684106,1.210850375407271
19,166.49450278282166,123849.719096159,0.15221227361686018,1.2111570531685212
