iterations,time,residual,fitness,Cond_num,dt_step
0,0.0,7267.357362354684,-114.66982292347683,0,True
1,0.1250448226928711,2.2809175491593865,0.9636961118245005,0,True
2,0.16617798805236816,1.276342929826159,0.9796852757719914,0,True
3,0.2048029899597168,1.0065714550384752,0.983979053711155,0,True
4,0.24354004859924316,0.9305658584143317,0.9851887855936476,0,True
5,0.2840268611907959,0.8858824515713175,0.9858999824564746,0,True
6,0.32808876037597656,0.849216057108978,0.9864835777227086,0,True
7,0.37159180641174316,0.8160202663478955,0.9870119336363766,0,True
8,0.41588664054870605,0.7871759064367804,0.9874710306419185,0,True
9,0.4621245861053467,0.762883660640382,0.9878576745937129,0,True
10,0.5062828063964844,0.7418742621937586,0.9881920675892518,0,True
11,0.5479967594146729,0.7230750423138406,0.9884912826032092,0,True
12,0.588263750076294,0.7058639986233702,0.988765219644797,0,True
13,0.6289446353912354,0.689885043910955,0.9890195463236612,0,True
14,0.6694016456604004,0.6747762092058159,0.9892600238656046,0,True
15,0.708472728729248,0.6602543010660767,0.9894911596773284,0,True
16,0.7481577396392822,0.6466379900945239,0.9897078816851258,0,True
17,0.7887089252471924,0.6349331574270084,0.9898941799300716,0,True
18,0.8294129371643066,0.6257412059512111,0.9900404822716949,0,True
19,0.8738787174224854,0.6183692687639761,0.9901578166239958,0,True
20,0.9147684574127197,0.611982120546659,0.9902594767277235,0,True
21,0.9547154903411865,0.6062066012219957,0.9903514019302786,0,True
22,0.9960877895355225,0.6008744430778492,0.9904362704399143,0,True
23,1.035269021987915,0.5958756541692753,0.9905158329272198,0,True
24,1.0749690532684326,0.5911210412264422,0.9905915090237355,0,True
25,1.1142311096191406,0.5865288221352661,0.990664600402433,0,True
26,1.153059720993042,0.5820161548779589,0.9907364256060853,0,True
27,1.1944875717163086,0.5774919894371965,0.9908084338188808,0,True
28,1.2324936389923096,0.5728515912013098,0.990882292033838,0,True
29,1.2725796699523926,0.5679787110973029,0.9909598505122028,0,True
30,1.3133275508880615,0.5627740798711546,0.9910426892584339,0,True
31,1.35343337059021,0.5572409885347411,0.9911307558916255,0,True
32,1.3933374881744385,0.5515953152061268,0.9912206144195117,0,True
33,1.4322264194488525,0.5461661155206633,0.9913070274765449,0,True
34,1.4729435443878174,0.5410511515278692,0.9913884390474649,0,True
35,1.5134665966033936,0.5361138878125696,0.9914670222780948,0,True
36,1.55316162109375,0.5312527209127095,0.9915443943249712,0,True
37,1.5930404663085938,0.5264463688445681,0.9916208939196532,0,True
38,1.633317470550537,0.5216725412913893,0.9916968758426841,0,True
39,1.6752264499664307,0.5168743353178832,0.9917732457812508,0,True
40,1.7164654731750488,0.5120096278650547,0.9918506741808171,0,True
41,1.7556135654449463,0.5071572557200132,0.991927906247274,0,True
42,1.796067476272583,0.502585269877926,0.9920006755864429,0,True
43,1.8366315364837646,0.49858060132105414,0.9920644153036117,0,True
44,1.878713607788086,0.4951591714564003,0.992118871988051,0,True
45,1.9186842441558838,0.492143707366862,0.9921668671780324,0,True
46,1.9565954208374023,0.4893941443354668,0.992210630192991,0,True
47,1.9984092712402344,0.4868426333639172,0.9922512409415136,0,True
48,2.038769006729126,0.48445458534151514,0.9922892499560854,0,True
49,2.0771870613098145,0.4822078849266626,0.9923250092322832,0,True
50,2.116558074951172,0.4800862583500237,0.9923587777891593,0,True
51,2.1566171646118164,0.47807699325910447,0.9923907579609995,0,True
52,2.1961560249328613,0.4761698478852341,0.9924211127594064,0,True
53,2.2360029220581055,0.47435636618294835,0.9924499767737818,0,True
54,2.2760167121887207,0.47262938697838586,0.9924774639838947,0,True
55,2.315685749053955,0.47098267406074495,0.9925036736474756,0,True
56,2.3567328453063965,0.4694106344419722,0.9925286947844949,0,True
57,2.396866798400879,0.46790810503036295,0.9925526095725413,0,True
58,2.437896490097046,0.46647019325430183,0.9925754958835101,0,True
59,2.4784152507781982,0.4650921590078377,0.9925974291625995,0,True
60,2.518460273742676,0.4637693261807642,0.9926184838364288,0,True
61,2.5589470863342285,0.46249701273882066,0.9926387344259066,0,True
62,2.5996060371398926,0.4612704687407954,0.9926582565327723,0,True
63,2.640190362930298,0.46008481146820923,0.9926771278720955,0,True
64,2.681478500366211,0.4589349470178133,0.9926954295202368,0,True
65,2.7221155166625977,0.45781546542890933,0.9927132475840389,0,True
66,2.761521577835083,0.45672049423247874,0.9927306755317896,0,True
67,2.801952838897705,0.4556434894935829,0.9927478175190657,0,True
68,2.843686580657959,0.4545769348606311,0.9927647931787698,0,True
69,2.884836435317993,0.4535119055980802,0.9927817445601407,0,True
70,2.925626277923584,0.45243743430899247,0.9927988462241361,0,True
71,2.9654622077941895,0.45133958878180364,0.9928163199207489,0,True
72,3.0060009956359863,0.45020014814831427,0.9928344556597439,0,True
73,3.045668125152588,0.4489947787942437,0.9928536407435083,0,True
74,3.0865511894226074,0.44769080048170345,0.9928743953222344,0,True
75,3.1273281574249268,0.4462454097039861,0.9928974006716315,0,True
76,3.16888427734375,0.4446076878295328,0.9929234672305979,0,True
77,3.2094972133636475,0.4427337837141172,0.9929532929494113,0,True
78,3.247009038925171,0.44063237688260426,0.9929867396816926,0,True
79,3.285557985305786,0.43843808760158526,0.9930216647637992,0,True
80,3.326525926589966,0.4364071335590804,0.9930539901446425,0,True
81,3.3670718669891357,0.4347120075042743,0.9930809703687894,0,True
82,3.405803918838501,0.43330106601963553,0.9931034274110877,0,True
83,3.447237730026245,0.43205192772011813,0.9931233091368249,0,True
84,3.486205816268921,0.43089606785580126,0.9931417062100888,0,True
