method,iterations,time,residual,fitness,cond_num
M-norm,34,0.16378426551818848,1774.8025341941436,0.9630187452414558,5.403372474613094
M-norm,35,0.16849303245544434,1774.8024626122929,0.9630187467329945,5.403372462500395
M-norm,36,0.1731271743774414,1774.802462451624,0.9630187467363422,5.403372462489944
M-norm,37,0.17769384384155273,1774.8024624500756,0.9630187467363746,5.403372462489797
M-norm,38,0.1826636791229248,1774.8024624500724,0.9630187467363747,5.4033724624897985
M-norm,39,0.18773174285888672,1774.8024624500733,0.9630187467363747,5.403372462489803
M-norm,40,0.19228005409240723,1774.802462450075,0.9630187467363746,5.40337246248982
M-norm,41,0.1968059539794922,1774.8024624500777,0.9630187467363746,5.4033724624897985
M-norm,42,0.20165777206420898,1774.8024624500717,0.9630187467363747,5.403372462489813
M-norm,43,0.2062816619873047,1774.8024624500702,0.9630187467363747,5.403372462489802
M-norm,44,0.21086692810058594,1774.8024624500717,0.9630187467363747,5.40337246248981
M-norm,45,0.21570110321044922,1774.8024624500704,0.9630187467363747,5.403372462489808
M-norm,46,0.22052001953125,1774.8024624500674,0.9630187467363748,5.4033724624898
M-norm,47,0.22519993782043457,1774.8024624500715,0.9630187467363747,5.4033724624898065
M-norm,48,0.2299799919128418,1774.8024624500702,0.9630187467363747,5.403372462489805
M-norm,49,0.23484230041503906,1774.8024624500792,0.9630187467363744,5.403372462489821
M-norm,50,0.23948431015014648,1774.8024624500715,0.9630187467363747,5.403372462489813
M-norm,51,0.2442765235900879,1774.8024624500754,0.9630187467363746,5.403372462489813
M-norm,52,0.24886345863342285,1774.8024624500695,0.9630187467363747,5.403372462489808
M-norm,53,0.25357747077941895,1774.8024624500713,0.9630187467363747,5.403372462489803
M-norm,54,0.25816941261291504,1774.8024624500729,0.9630187467363747,5.403372462489811
M-norm,55,0.26327037811279297,1774.8024624500706,0.9630187467363747,5.403372462489813
M-norm,56,0.26784229278564453,1774.8024624500747,0.9630187467363746,5.403372462489812
M-norm,57,0.27345728874206543,1774.802462450071,0.9630187467363747,5.403372462489814
M-norm,58,0.2784092426300049,1774.8024624500695,0.9630187467363747,5.403372462489808
M-norm,59,0.28348827362060547,1774.8024624500747,0.9630187467363746,5.403372462489801
