method,iterations,time,residual,fitness,cond_num
M-norm,0,0.0,2711.9368209638774,0.6385528851100191,0
M-norm,1,0.1678910255432129,22220.354886556834,-1.9615303363604557,0
M-norm,2,0.2508060932159424,57396.317625122545,-6.649784925128178,0
M-norm,3,0.3226320743560791,446684.31190236146,-58.534113979226596,0
M-norm,4,0.39330387115478516,23449.181798747188,-2.125308466690389,0
M-norm,5,0.4696848392486572,1998.9378933211597,0.7335814282987629,0
M-norm,6,0.5428516864776611,6.938558803422632,0.9990752284339351,0
M-norm,7,0.6144726276397705,6.564598609800817e-09,0.999999999999125,0
M-norm,8,0.6864347457885742,5.296236473349152e-12,0.9999999999999993,0
