iterations,time,residual,fitness,cond_num
0,0.0,982.0625174798988,0.6230634617208431,0
1,0.0,568.3850874782925,0.7818416816952303,0
2,0.00859975814819336,488.9025182056285,0.8123487868763263,0
3,0.01703953742980957,251.57650047769064,0.9034395738411976,0
4,0.025531768798828125,264.9867914816602,0.8982924181577451,0
5,0.03427863121032715,246.51072219317254,0.9053839275827048,0
6,0.04273033142089844,245.09371359350993,0.9059278057032538,0
7,0.052732229232788086,244.77372483692147,0.9060506242123099,0
8,0.06108212471008301,244.72606317496704,0.90606891777463,0
9,0.06948232650756836,244.7177142807646,0.9060721222582785,0
10,0.07810544967651367,244.71623250700105,0.9060726909946502,0
11,0.0871424674987793,244.7159124977875,0.906072813821011,0
12,0.09593749046325684,244.7157030645237,0.9060728942059642,0
13,0.10445642471313477,244.71541968580362,0.9060730029727604,0
14,0.11292243003845215,244.71503284741894,0.9060731514495824,0
15,0.12211942672729492,244.7145379127313,0.9060733414160709,0
16,0.130629301071167,244.71393325708908,0.9060735734958016,0
17,0.1390702724456787,244.71321723720303,0.9060738483195041,0
18,0.14828228950500488,244.7123880001937,0.9060741665983532,0
19,0.1570742130279541,244.7114435707079,0.9060745290905312,0
20,0.16576027870178223,244.7103819055558,0.9060749365802584,0
21,0.1753232479095459,244.7092009154239,0.9060753898694576,0
22,0.18363428115844727,244.70789847216153,0.9060758897749583,0
23,0.19194817543029785,244.70647241082528,0.9060764371277122,0
24,0.20092225074768066,244.7049205299872,0.9060770327726743,0
25,0.2092723846435547,244.7032405914901,0.9060776775688968,0
26,0.21898722648620605,244.70143032001818,0.9060783723896948,0
27,0.22780632972717285,244.69948740264167,0.9060791181228197,0
28,0.23621129989624023,244.6974094883248,0.9060799156706494,0
29,0.2450242042541504,244.69519418744306,0.9060807659503727,0
30,0.25344014167785645,244.6928390712982,0.9060816698941757,0
31,0.2621021270751953,244.6903416716517,0.9060826284494211,0
32,0.2705819606781006,244.68769948023427,0.9060836425788361,0
33,0.27912092208862305,244.68490994829455,0.9060847132606858,0
34,0.2875978946685791,244.6819704861337,0.906085841488952,0
35,0.2963747978210449,244.67887846265742,0.9060870282735046,0
36,0.3048255443572998,244.67563120493168,0.9060882746402728,0
37,0.31467461585998535,244.67222599776133,0.9060895816314063,0
38,0.32557153701782227,244.66866008326855,0.9060909503054375,0
39,0.33582258224487305,244.66493066048284,0.9060923817374387,0
40,0.34673452377319336,244.66103488497498,0.9060938770191622,0
41,0.3579277992248535,244.65696986845074,0.9060954372591973,0
42,0.36867380142211914,244.65273267843128,0.9060970635830917,0
43,0.37865686416625977,244.64832033789781,0.9060987571334888,0
44,0.38718295097351074,244.64372982498742,0.9061005190702438,0
45,0.3957710266113281,244.6389580727074,0.9061023505705342,0
46,0.4050281047821045,244.63400196866988,0.9061042528289608,0
47,0.41382622718811035,244.62885835485193,0.90610622705764,0
48,0.4226803779602051,244.62352402741058,0.9061082744862752,0
49,0.4310035705566406,244.61799573648406,0.9061103963622325,0
50,0.4405803680419922,244.61227018608758,0.9061125939505813,0
51,0.4496445655822754,244.60634403398768,0.906114868534142,0
52,0.45804548263549805,244.60021389166764,0.9061172214134996,0
53,0.4684333801269531,244.5938763243029,0.9061196539070131,0
54,0.47682642936706543,244.58732785079738,0.9061221673508012,0
55,0.4852263927459717,244.58056494387463,0.9061247630987082,0
56,0.4938380718231201,244.57358403022067,0.9061274425222478,0
57,0.5022029876708984,244.5663814906685,0.9061302070105337,0
58,0.511275053024292,244.55895366047133,0.9061330579701738,0
59,0.519493818283081,244.5512968296336,0.9061359968251437,0
60,0.5278558731079102,244.5434072432911,0.9061390250166401,0
61,0.5375270843505859,244.5352811022045,0.9061421440028923,0
62,0.5466029644012451,244.52691456329853,0.9061453552589543,0
63,0.5550220012664795,244.5183037403003,0.9061486602764608,0
64,0.5647141933441162,244.50944470448806,0.9061520605633387,0
65,0.5730922222137451,244.5003334854945,0.9061555576434999,0
66,0.5815753936767578,244.4909660722415,0.9061591530564816,0
67,0.5899693965911865,244.48133841399024,0.9061628483570439,0
68,0.5987205505371094,244.47144642147265,0.9061666451147349,0
69,0.6075246334075928,244.46128596817803,0.9061705449133974,0
70,0.6160256862640381,244.45085289175267,0.9061745493506317,0
71,0.6260228157043457,244.44014299553461,0.906178660037206,0
72,0.6354596614837646,244.42915205023294,0.9061828785964124,0
73,0.6439385414123535,244.4178757957711,0.9061872066633593,0
74,0.6522953510284424,244.40630994326548,0.9061916458842114,0
75,0.661426305770874,244.3944501771977,0.9061961979153569,0
