iterations,time,residual,fitness,cond_num
0,0.0,642.556673202635,0.5337276218610105,0
1,0.02087092399597168,182.5173529625502,0.8675559623506643,0
2,0.04091167449951172,138.79059745759278,0.8992863592602129,0
3,0.061470746994018555,123.48481471466081,0.9103930273821934,0
4,0.08086442947387695,113.7442225814561,0.9174613051666171,0
5,0.10022115707397461,105.02594732736391,0.9237877369126832,0
6,0.11985230445861816,96.84887858141866,0.9297214412058383,0
7,0.13904643058776855,89.93172436534282,0.9347408863081799,0
8,0.15895462036132812,84.0614502201029,0.9390006610489607,0
9,0.17827177047729492,78.94193257111422,0.9427156480200255,0
10,0.19888782501220703,74.18995358782084,0.9461639299129878,0
11,0.21825671195983887,69.45580071215065,0.9495992762596533,0
12,0.23828768730163574,64.67637403559878,0.9530674756194225,0
13,0.25811290740966797,60.169534182179184,0.9563378718723656,0
14,0.2796158790588379,56.29469615024125,0.9591496548938538,0
15,0.30143189430236816,53.10394162498704,0.9614650315175729,0
16,0.325314998626709,50.886882758442816,0.9630738441768909,0
17,0.34592509269714355,49.26640586219697,0.9642497460819569,0
18,0.36631202697753906,47.87566084978795,0.9652589426421433,0
19,0.38819384574890137,46.49622750474995,0.9662599308710403,0
20,0.4078657627105713,44.957233973862344,0.967376704228962,0
21,0.42836570739746094,43.126701298294236,0.9687050334791184,0
22,0.44904255867004395,40.959470383918045,0.9702776883974557,0
23,0.46851229667663574,38.55105233056754,0.9720253611866766,0
24,0.48833131790161133,36.15012792864072,0.9737675961945844,0
25,0.5072941780090332,34.076828255188154,0.9752720897430167,0
26,0.5267643928527832,32.5408211411071,0.9763866960023391,0
27,0.5470073223114014,31.461218044316684,0.97717011188514,0
28,0.5678722858428955,30.573859702687685,0.9778140250238062,0
29,0.5870661735534668,29.601067368995995,0.9785199334888215,0
30,0.6069822311401367,28.241285797719023,0.9795066613735833,0
31,0.6273951530456543,26.14737319288854,0.9810261127318632,0
32,0.6482949256896973,23.058443874338703,0.983267599715548,0
33,0.6677567958831787,19.111162319737403,0.9861319515064564,0
34,0.6876270771026611,14.964870094915256,0.9891407157396424,0
35,0.7069439888000488,11.378164029829378,0.9917434152934694,0
36,0.7264089584350586,8.7196389611824,0.9936725786774893,0
37,0.7467629909515381,6.94315686294925,0.9949616860312982,0
38,0.7667350769042969,5.815222705289907,0.9957801734332805,0
39,0.7858319282531738,5.095088357920031,0.9963027401868932,0
40,0.8054947853088379,4.607939329835585,0.9966562407344807,0
41,0.824617862701416,4.248526923740737,0.9969170489780356,0
42,0.8442826271057129,3.9599241249508106,0.9971264741057191,0
43,0.8651018142700195,3.7128936445839815,0.9973057322075444,0
44,0.8848776817321777,3.4925988257675216,0.9974655895296219,0
45,0.9044218063354492,3.291369520266363,0.9976116119284861,0
46,0.9244108200073242,3.1050549105032306,0.9977468114522002,0
47,0.9438936710357666,2.931243012013646,0.9978729383615258,0
48,0.9640598297119141,2.7683991097215426,0.9979911063251526,0
49,0.9837000370025635,2.6154470105254286,0.9981020962844944,0
50,1.0044469833374023,2.471562812972325,0.9982065061050871,0
51,1.023515224456787,2.3360712132913193,0.9983048258222977,0
52,1.0436532497406006,2.208391835892079,0.9983974765866926,0
53,1.0633511543273926,2.088010350431367,0.9984848316229883,0
54,1.0836501121520996,1.97446211695877,0.9985672280979807,0
55,1.104295253753662,1.8673223248112818,0.9986449742762734,0
56,1.1243023872375488,1.7661996070953119,0.9987183541539397,0
57,1.1447954177856445,1.6707315923641344,0.9987876306864564,0
58,1.165539264678955,1.5805815912794068,0.9988530481930329,0
59,1.1851935386657715,1.4954359880822694,0.9989148342494952,0
60,1.2041943073272705,1.4150020981126719,0.9989732012429812,0
61,1.2231924533843994,1.3390063531941083,0.999028347688718,0
62,1.2428505420684814,1.267192730895164,0.9990804593698327,0
63,1.2646284103393555,1.1993213737881474,0.999129710339289,0
64,1.2880184650421143,1.135167362172097,0.9991762638104627,0
65,1.3095495700836182,1.0745196141605804,0.9992202729552951,0
66,1.3312907218933105,1.017179893613888,0.9992618816241895,0
67,1.3533577919006348,0.9629619107536539,0.9993012249986504,0
68,1.375992774963379,0.9116905033332434,0.9993384301854696,0
69,1.3985848426818848,0.8632008884394118,0.9993736167596575,0
70,1.4203038215637207,0.81733797666702,0.9994068972621133,0
71,1.4425647258758545,0.7739557417015631,0.9994383776570884,0
72,1.4653990268707275,0.7329166393768523,0.9994681577537486,0
73,1.486572027206421,0.6940910711126477,0.9994963315955312,0
74,1.508127212524414,0.6573568873259885,0.9995229878204955,0
75,1.530381202697754,0.622598926983204,0.9995482099954478,0
76,1.5526771545410156,0.5897085899415966,0.9995720769262724,0
77,1.5751242637634277,0.5585834391361338,0.9995946629466053,0
78,1.5960402488708496,0.5291268300128575,0.9996160381867368,0
79,1.6183011531829834,0.5012475649050935,0.9996362688244139,0
80,1.6394243240356445,0.4748595703035636,0.9996554173190297,0
81,1.6611802577972412,0.4498815951898446,0.9996735426305284,0
82,1.6830642223358154,0.42623692879077224,0.9996907004242173,0
83,1.705193042755127,0.403853136277866,0.9997069432625567,0
84,1.7273411750793457,0.3826618110779637,0.9997223207848966,0
85,1.7491331100463867,0.3625983425870839,0.9997368798760354,0
